id,code
1,SoftwoodMerch
2,SoftwoodFoliage
3,SoftwoodOther
4,SoftwoodCoarseRoots
5,SoftwoodFineRoots
6,HardwoodMerch
7,HardwoodFoliage
8,HardwoodOther
9,HardwoodCoarseRoots
10,HardwoodFineRoots
11,AboveGroundVeryFastSoil
12,BelowGroundVeryFastSoil
13,AboveGroundFastSoil
14,BelowGroundFastSoil
15,MediumSoil
16,AboveGroundSlowSoil
17,BelowGroundSlowSoil
18,SoftwoodStemSnag
19,SoftwoodBranchSnag
20,HardwoodStemSnag
21,HardwoodBranchSnag
22,AboveGroundBio
23,BelowGroundBio
24,AboveGroundDOM
25,BelowGroundDOM
26,TotalEcosystem
27,Litter
28,Deadwood
29,SoilC
30,DOM
